"","subject_nr","count_trial","Condition","Exemplar","tot_dist","max_abs_dev","avg_abs_dev","AUC"
"1",1,2,"Typical","Loewe",1063.00227090275,85.0821525881897,6.03217074739255,46527
"2",1,3,"Typical","Kaninchen",1032.67959000277,65.4189620288372,14.5527203587234,16242.4980615736
"3",1,4,"Atypical","Seeloewe",1153.46371806337,99.1837292503676,18.1723397249807,54516.0103318594
"4",1,5,"Typical","Alligator",1049.80507884077,64.340414235989,20.6840936748697,32053.5
"5",1,6,"Atypical","Pinguin",1961.69484969156,623.550219845759,92.4561279080155,228192.851796088
"6",1,7,"Typical","Katze",1587.17670988424,598.199317216519,90.8554284560242,315863.5
"7",1,8,"Typical","Spatz",2118.27937984627,880.764099830054,165.51640789847,550035.829833161
"8",1,9,"Typical","Chamaeleon",1266.88233832662,210.788834332636,28.3628765665911,153632.733986567
"9",1,10,"Typical","Pferd",1150.66709140742,76.8327049761992,17.54558209541,51609
"10",1,11,"Atypical","Schmetterling",1028.20224414259,71.3338407719767,17.9555103009256,48131.5
"11",1,12,"Typical","Hai",1106.01055762847,97.7269446847736,4.65969600002078,70573.2855867327
"12",1,14,"Typical","Falke",1283.1525681896,154.12214031871,19.1521322488415,97678.8649004058
"13",1,15,"Atypical","Wal",1026.17854452597,84.5308057352279,8.01934749767732,44149.3795396727
"14",1,16,"Atypical","Fledermaus",1038.974216244,162.908665023392,8.2297008386261,85775.5765317105
"15",1,17,"Typical","Lachs",1447.88297401017,276.245465996442,33.7085639404772,207243.5
"16",1,18,"Typical","Goldfisch",1246.25854742581,237.490664867243,31.6555592134502,162504.843856433
"17",1,19,"Typical","Hund",1058.25855967678,66.7888413495037,12.2766807259328,33117.9072226255
"18",2,1,"Typical","Katze",1032.10937420982,96.0286172334277,17.157382528825,50450.3373865243
"19",2,2,"Atypical","Pinguin",1032.5042769574,31.9075637394364,3.28400925073215,15579.5972139761
"20",2,3,"Atypical","Schmetterling",2388.83306535984,984.891029998314,180.513059818543,463585.011504227
"21",2,4,"Typical","Spatz",986.808024673206,37.8973452916013,7.24944820391173,22885.5723982961
"22",2,5,"Typical","Falke",1848.50600919316,664.9159301368,92.3710911850651,281493.652074946
"23",2,6,"Atypical","Aal",1173.87625160657,38.0769037438145,2.49622725118268,21351.0467473367
"24",2,7,"Typical","Hund",1215.76466204245,17.6632305551114,2.15401211003082,9951.71715672994
"25",2,8,"Typical","Klapperschlange",1097.7993001973,78.4611408188977,5.7897809669158,49383.6416996933
"26",2,9,"Atypical","Fledermaus",1055.39914501977,64.8900487041499,14.3121185163922,13519.3190196247
"27",2,10,"Typical","Goldfisch",1089.1817906783,56.6490806905213,19.0328273174954,29887
"28",2,11,"Typical","Loewe",1077.4662143028,26.9371356954103,2.1571029977523,11485.3588118702
"29",2,12,"Typical","Hai",1161.23603248502,34.6351506069221,1.82868554937228,16933.4627156492
"30",2,13,"Typical","Kaninchen",1204.97794448657,193.293691100604,24.6079874656251,146548.5
"31",2,14,"Typical","Lachs",1051.41470123755,17.4975586109613,1.06720966235819,7061.61347527094
"32",2,15,"Typical","Pferd",1140.51543780642,65.9868644262918,7.8357362696181,43829.9999999999
"33",2,16,"Atypical","Wal",2327.80590829967,1019.04901791544,241.576313719261,458158
"34",2,17,"Typical","Chamaeleon",1145.39007390004,144.974237311963,22.2793854622615,81827.6176120423
"35",2,18,"Atypical","Seeloewe",2937.21904163319,109.672778107785,54.0333417624741,106392.064420361
"36",2,19,"Typical","Alligator",1122.04842346123,91.8478934850782,17.533985459805,46602.2869332409
"37",3,1,"Typical","Spatz",2174.96254270521,617.808402724669,148.792403359512,484707.89770596
"38",3,2,"Typical","Hund",1221.24764946128,44.6464788522386,6.6850155751727,27802.6354407007
"39",3,3,"Atypical","Wal",2839.85011295295,605.776616567701,103.364904406165,125169.022439364
"40",3,4,"Typical","Pferd",1064.93825744153,72.38147272581,34.9763604338546,36334.4029466379
"41",3,5,"Atypical","Schmetterling",1102.47249344495,45.5333049504151,6.56414252149678,20281.8042204966
"42",3,6,"Atypical","Fledermaus",2078.17025196696,798.636120624613,230.469037215697,494752.5
"43",3,7,"Typical","Alligator",2571.69266620387,972.266022133284,257.025843654826,414769.932752875
"44",3,8,"Typical","Falke",2601.00893583977,878.116871031095,251.429131012289,401384.85473036
"45",3,9,"Typical","Chamaeleon",2161.22397548408,792.4956616279,136.457127559116,456937.231448384
"46",3,10,"Typical","Kaninchen",1157.1048891033,141.337896499039,18.5313643482438,91712.4999999999
"47",3,11,"Atypical","Pinguin",3118.35382836276,686.621671381279,94.4238368165897,223373.132939847
"48",3,12,"Typical","Katze",2069.69776995548,849.020975127799,188.27661568172,499195.5
"49",3,13,"Typical","Loewe",1079.50164089901,58.0605440066144,9.157211490162,30900.9362326029
"50",3,14,"Atypical","Seeloewe",5241.83344645268,972.446327325605,231.588303539293,388665.906739357
"51",3,16,"Atypical","Aal",1121.05675248455,126.143002107245,33.482917875608,72342.3285098967
"52",3,17,"Typical","Lachs",1171.81833779198,47.0348293622631,10.2402865176344,31908.8904695251
"53",3,18,"Typical","Klapperschlange",1524.12748226751,419.169966955438,43.5046060528664,233116.798024391
"54",3,19,"Typical","Goldfisch",1127.97291988843,72.6989598560643,16.4657284025524,55383.5000000001
"55",4,1,"Typical","Katze",1150.23002364284,131.560791972469,47.4582017739773,96719.0000000001
"56",4,2,"Atypical","Fledermaus",2915.05438961173,865.890030500552,248.409518149113,178569.670242072
"57",4,3,"Typical","Kaninchen",1216.37339688742,189.26708997449,39.7740223820647,100422.706502173
"58",4,4,"Typical","Spatz",1167.80232526134,109.635375233047,30.3243393123151,67762.0053508577
"59",4,5,"Typical","Loewe",1181.91623899608,245.814037393776,36.22612554559,136396.517157532
"60",4,6,"Typical","Hund",1117.64251281523,179.250089162452,33.4131702892237,119374.5
"61",4,7,"Atypical","Wal",3802.66380881802,922.150993096728,248.856103283057,343477.984902723
"62",4,8,"Typical","Alligator",1118.02038936633,172.847022875496,33.4460405575445,95512.9899861885
"63",4,9,"Atypical","Aal",2568.39024989711,1033.93680381985,350.814057269182,367719.971112276
"64",4,10,"Typical","Lachs",1131.62721154421,187.297697819549,34.3086905920278,126666.382539789
"65",4,11,"Typical","Goldfisch",1060.81449797841,120.081676902952,20.2821068934834,73777.9999999999
"66",4,12,"Typical","Falke",2336.8548338094,1015.25190242587,313.498919062977,449936
"67",4,13,"Typical","Pferd",1607.49959620601,464.142596077579,89.2236956701042,206681.482820709
"68",4,14,"Typical","Chamaeleon",1137.54076271745,87.4058866123076,23.5500277043912,43610.7027439812
"69",4,15,"Atypical","Schmetterling",1646.72663042004,240.200158955457,45.7641023927183,46308.6203804942
"70",4,16,"Typical","Klapperschlange",2626.87393129111,910.515034358701,380.441986549195,458887.5
"71",4,17,"Atypical","Seeloewe",1829.08728849222,674.082156904556,204.228254488756,406935.063827687
"72",4,18,"Typical","Hai",1775.34415179623,271.192569566316,61.4984198782189,172263.047487779
"73",5,1,"Atypical","Fledermaus",1823.69948804477,728.028452761975,197.64291653833,307093.281179911
"74",5,2,"Typical","Spatz",1443.89253841367,139.480968812678,14.9288980986487,108609.228486905
"75",5,3,"Typical","Goldfisch",1115.80781628658,190.789853208993,29.4200375183644,78586.814058569
"76",5,4,"Typical","Loewe",1127.3164836969,173.995581867197,22.1715641609027,88708.8670505197
